raw_relative_to_target400_s,shifted_relative_s_minus_1s,position_mm,velocity_mm_s,current_A,state,unit_message_code
0.742213964,-0.257786036,100.167877197,37.629165649,3.437999964,1,1
0.752486229,-0.247513771,100.041656494,0.183333337,-4.024000168,1,1
0.762085676,-0.237914324,100.189361572,-13.566666603,4.386000156,1,1
0.772364140,-0.227635860,100.180297852,25.025001526,3.586999893,1,1
0.782187462,-0.217812538,100.047027588,-2.979166746,-4.032000065,1,1
0.792454958,-0.207545042,100.120880127,-21.312500000,-0.122000001,1,1
0.802208900,-0.197791100,100.167205811,29.745832443,3.565000057,1,1
0.812430859,-0.187569141,99.979217529,-13.887500763,-3.967999935,1,1
0.822162151,-0.177837849,100.055755615,-15.904166222,4.230000019,1,1
0.832392454,-0.167607546,99.956726074,26.858333588,0.901000023,1,1
0.842067719,-0.157932281,99.891265869,-35.566665649,-3.164999962,1,1
0.852454424,-0.147545576,99.966461182,9.258333206,3.904999971,1,1
0.862206221,-0.137793779,99.864410400,13.933333397,-3.408999920,1,1
0.872380018,-0.127619982,99.873474121,-34.237499237,-3.482000113,1,1
0.882170677,-0.117829323,99.964111328,33.091667175,3.552000046,1,1
0.892339945,-0.107660055,99.814727783,-10.037500381,-4.027999878,1,1
0.902184963,-0.097815037,99.966461182,-5.500000000,3.977999926,1,1
0.922430038,-0.077569962,99.838562012,-34.879165649,-3.845999956,1,1
0.924124956,-0.075875044,99.821441650,-14.758333206,-4.035999775,1,1
0.932318449,-0.067681551,99.920471191,3.529166698,3.974999905,1,1
0.942163467,-0.057836533,99.825805664,15.812500000,-3.865999937,1,1
0.952462196,-0.047537804,99.860382080,-31.212501526,-3.572999954,1,1
0.962145090,-0.037854910,99.968811035,34.283332825,3.713000059,1,1
0.972387075,-0.027612925,99.816070557,-11.549999237,-3.934999943,1,1
0.982204199,-0.017795801,100.051727295,11.274999619,4.120999813,1,1
0.992417336,-0.007582664,99.877166748,1.879166722,-3.957999945,1,1
1.002082348,0.002082348,100.207489014,12.787500381,3.967000008,1,1
1.012430191,0.012430191,100.105102539,16.316667557,-3.940999985,1,1
1.022430897,0.022430897,100.202117920,-13.750000000,-3.937000036,1,1
1.032478809,0.032478809,100.479064941,32.266666412,3.206000090,1,1
1.042202711,0.042202711,100.508605957,17.462499619,-4.512000084,1,1
1.052434206,0.052434206,100.808380127,4.720833302,2.128000021,1,1
1.062160254,0.062160254,100.987304688,49.866664886,-1.452000022,1,1
1.072343111,0.072343111,101.223632812,-7.379166603,-3.733000040,1,1
1.082062721,0.082062721,101.513336182,55.091667175,2.793999910,1,1
1.092339993,0.092339993,101.738250732,-7.883333206,-4.145999908,1,1
1.102176189,0.102176189,102.307586670,87.816665649,2.795000076,1,1
1.112360954,0.112360954,102.652343750,8.250000000,-4.078000069,1,1
1.122178078,0.122178078,103.239471436,79.566665649,3.023999929,1,1
1.132408142,0.132408142,103.485870361,22.870832443,-4.184000015,1,1
1.142075777,0.142075777,104.186462402,60.270832062,3.582000017,1,1
1.152349710,0.152349710,104.633605957,68.520828247,-4.412000179,1,1
1.162013769,0.162013769,105.217712402,22.504167557,-3.727999926,1,1
