time_s,target_normalized,ideal_normalized,fit20,unity20,fit200,unity200,fit800,unity800
4.490000000000000102e-01,1.000000000000000000e+00,9.887793561904109074e-01,9.195142487560746813e-01,9.817772441712732112e-01,9.927217372183203548e-01,9.891255357193732278e-01,8.468333079564365207e-01,9.629294401385521951e-01
4.495000000000000107e-01,1.000000000000000000e+00,9.888353193848827827e-01,9.195748762508128005e-01,9.818593231736661986e-01,9.927775218234945465e-01,9.891803114066298752e-01,8.469156637721978464e-01,9.630694220493200008e-01
4.500000000000000111e-01,1.000000000000000000e+00,9.888910034617577338e-01,9.196352093488219248e-01,9.819410324755211139e-01,9.928330266120275471e-01,9.892348111836588576e-01,8.469976565991443884e-01,9.632088753752643395e-01
4.505000000000000671e-01,1.000000000000000000e+00,9.889464098131406367e-01,9.196952494796423183e-01,9.820223737420445964e-01,9.928882529874847318e-01,9.892890364402457948e-01,8.470792880371739164e-01,9.633478021123709212e-01
4.510000000000000120e-01,1.000000000000000000e+00,9.890015398241931432e-01,9.197549980658725755e-01,9.821033486309426186e-01,9.929432023463915513e-01,9.893429885591755735e-01,8.471605596791322856e-01,9.634862042490888179e-01
4.515000000000000679e-01,1.000000000000000000e+00,9.890563948731684318e-01,9.198144565232030390e-01,9.821839587924546811e-01,9.929978760782682823e-01,9.893966689162679851e-01,8.472414731108451891e-01,9.636240837663581082e-01
4.520000000000000129e-01,1.000000000000000000e+00,9.891109763314455128e-01,9.198736262604501057e-01,9.822642058693870082e-01,9.930522755656654432e-01,9.894500788804126978e-01,8.473220299111482445e-01,9.637614426376388543e-01
4.525000000000000688e-01,1.000000000000000000e+00,9.891652855635638675e-01,9.199325086795889783e-01,9.823440914971467430e-01,9.931064021841983225e-01,9.895032198136040069e-01,8.474022316519186360e-01,9.638982828289393012e-01
4.530000000000000138e-01,1.000000000000000000e+00,9.892193239272568661e-01,9.199911051757873048e-01,9.824236173037742548e-01,9.931602573025825054e-01,9.895560930709760283e-01,8.474820798981049785e-01,9.640346062988435216e-01
4.535000000000000697e-01,1.000000000000000000e+00,9.892730927734867397e-01,9.200494171374377084e-01,9.825027849099773336e-01,9.932138422826679580e-01,9.896087000008364498e-01,8.475615762077587378e-01,9.641704149985400596e-01
4.540000000000000147e-01,1.000000000000000000e+00,9.893265934464771094e-01,9.201074459461912047e-01,9.825815959291636092e-01,9.932671584794733333e-01,9.896610419447019469e-01,8.476407221320637619e-01,9.643057108718493531e-01
4.545000000000000706e-01,1.000000000000000000e+00,9.893798272837477370e-01,9.201651929769899541e-01,9.826600519674736356e-01,9.933202072412208317e-01,9.897131202373316006e-01,8.477195192153672565e-01,9.644404958552522666e-01
4.550000000000000155e-01,1.000000000000000000e+00,9.894327956161473869e-01,9.202226595980993462e-01,9.827381546238135313e-01,9.933729899093698412e-01,9.897649362067609813e-01,8.477979689952093167e-01,9.645747718779166258e-01
4.555000000000000715e-01,1.000000000000000000e+00,9.894854997678870223e-01,9.202798471711407524e-01,9.828159054898875091e-01,9.934255078186507992e-01,9.898164911743365657e-01,8.478760730023536807e-01,9.647085408617261937e-01
4.560000000000000164e-01,1.000000000000000000e+00,9.895379410565732226e-01,9.203367570511237217e-01,9.828933061502307389e-01,9.934777622970992761e-01,9.898677864547490435e-01,8.479538327608163728e-01,9.648418047213069837e-01
4.565000000000000724e-01,1.000000000000000000e+00,9.895901207932409349e-01,9.203933905864782883e-01,9.829703581822410996e-01,9.935297546660891710e-01,9.899188233560666239e-01,8.480312497878971234e-01,9.649745653640556808e-01
4.570000000000000173e-01,1.000000000000000000e+00,9.896420402823863371e-01,9.204497491190867242e-01,9.830470631562114869e-01,9.935814862403666847e-01,9.899696031797688978e-01,8.481083255942073462e-01,9.651068246901661762e-01
4.575000000000000733e-01,1.000000000000000000e+00,9.896937008219992560e-01,9.205058339843150694e-01,9.831234226353621208e-01,9.936329583280831823e-01,9.900201272207795888e-01,8.481850616837007806e-01,9.652385845926571006e-01
4.580000000000000182e-01,1.000000000000000000e+00,9.897451037035960297e-01,9.205616465110453284e-01,9.831994381758718538e-01,9.936841722308280556e-01,9.900703967675001937e-01,8.482614595537021351e-01,9.653698469573988028e-01
4.585000000000000742e-01,1.000000000000000000e+00,9.897962502122511497e-01,9.206171880217066672e-01,9.832751113269104781e-01,9.937351292436619188e-01,9.901204131018417343e-01,8.483375206949366198e-01,9.655006136631406610e-01
4.590000000000000191e-01,1.000000000000000000e+00,9.898471416266302336e-01,9.206724598323065001e-01,9.833504436306697016e-01,9.937858306551496934e-01,9.901701774992587302e-01,8.484132465915590338e-01,9.656308865815373954e-01
4.595000000000000751e-01,1.000000000000000000e+00,9.898977792190212233e-01,9.207274632524623525e-01,9.834254366223952326e-01,9.938362777473922494e-01,9.902196912287808406e-01,8.484886387211826309e-01,9.657606675771763793e-01
4.600000000000000200e-01,1.000000000000000000e+00,9.899481642553664695e-01,9.207821995854319486e-01,9.835000918304175332e-01,9.938864717960602668e-01,9.902689555530455046e-01,8.485636985549079858e-01,9.658899585076039518e-01
4.605000000000000759e-01,1.000000000000000000e+00,9.899982979952944850e-01,9.208366701281451849e-01,9.835744107761832389e-01,9.939364140704245454e-01,9.903179717283302486e-01,8.486384275573516378e-01,9.660187612233526178e-01
4.610000000000000209e-01,1.000000000000000000e+00,9.900481816921515854e-01,9.208908761712339963e-01,9.836483949742858002e-01,9.939861058333903099e-01,9.903667410045844388e-01,8.487128271866747342e-01,9.661470775679665834e-01
4.615000000000000768e-01,1.000000000000000000e+00,9.900978165930326425e-01,9.209448189990631084e-01,9.837220459324970134e-01,9.940355483415271864e-01,9.904152646254615888e-01,8.487868988946117854e-01,9.662749093780288456e-01
4.620000000000000218e-01,1.000000000000000000e+00,9.901472039388127255e-01,9.209984998897606800e-01,9.837953651517972187e-01,9.940847428451022871e-01,9.904635438283505566e-01,8.488606441264981983e-01,9.664022584831873930e-01
4.624999999999999667e-01,1.000000000000000000e+00,9.901963449641781878e-01,9.210519201152488344e-01,9.838683541264059418e-01,9.941336905881110741e-01,9.905115798444075192e-01,8.489340643212992532e-01,9.665291267061811853e-01
4.630000000000000226e-01,1.000000000000000000e+00,9.902452408976570863e-01,9.211050809412728579e-01,9.839410143438124257e-01,9.941823928083094453e-01,9.905593738985870589e-01,8.490071609116377482e-01,9.666555158628663547e-01
4.634999999999999676e-01,1.000000000000000000e+00,9.902938929616503794e-01,9.211579836274323974e-01,9.840133472848062723e-01,9.942308507372442650e-01,9.906069272096736933e-01,8.490799353238223102e-01,9.667814277622422958e-01
4.640000000000000235e-01,1.000000000000000000e+00,9.903423023724622354e-01,9.212106294272102147e-01,9.840853544235068640e-01,9.942790656002854499e-01,9.906542409903128510e-01,8.491523889778748169e-01,9.669068642064773123e-01
4.644999999999999685e-01,1.000000000000000000e+00,9.903904703403303422e-01,9.212630195880028294e-01,9.841570372273941159e-01,9.943270386166558339e-01,9.907013164470415134e-01,8.492245232875585970e-01,9.670318269909344844e-01
4.650000000000000244e-01,1.000000000000000000e+00,9.904383980694565492e-01,9.213151553511489400e-01,9.842283971573381196e-01,9.943747709994630313e-01,9.907481547803195232e-01,8.492963396604050752e-01,9.671563179041978708e-01
